Zeitraum Start	Zeitraum Ende	OhdAb	Vorkommen	Normvarianten	Zunft	Gewerbe	Kommentare	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
1400	1700	https://database.factgrid.de/wiki/Item:Q663665 https://database.factgrid.de/wiki/Item:Q661715	8	wannenmacher	Spinnwettern	Metall																					
1400	1700	#karrensalber	8	karrensalber	Gartnern	Verkehr																					
1400	1700	https://database.factgrid.de/wiki/Item:Q675040	8	besetzer	Spinnwettern	Holz																					
1400	1700	#buchstabengiesser	8	buchstabengiesser	Hausgenossen	Metall																					
1400	1700	#bischof	8	bischof	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q681783	8	turmherr	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q698887	8	glasmaler	Himmel	Glas																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671952	8	permenter	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670169	8	lismer	Safran	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661466	8	schreiner	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663826	8	schriftgiesser	Hausgenossen	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q690013	7	untervogt	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694938	7	domprobst	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670244	7	passamenter	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694535	7	klosterfrau	Andere	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q660083	7	steinschneider	Spinnwettern	Steine																					
1400	1700	#lehrmeister	7	lehrmeister																							
1400	1700	https://database.factgrid.de/wiki/Item:Q660160 https://database.factgrid.de/wiki/Item:Q660160	7	salzmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661670	7	stellmacher	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q676703	7	brunnenknecht	Verwaltung	Verwaltung																					
1400	1700	#wegmeister	7	wegmeister	Verwaltung	Verwaltung																					
1400	1700	#zapfengiesser	7	zapfengiesser	Hausgenossen	Metall	Zunft nur vermutet																				
1400	1700	#stubenschaber	7	stubenschaber																							
1400	1700	https://database.factgrid.de/wiki/Item:Q672289	7	holzschuhmacher	Schmieden	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694587	7	prior	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q272439	7	Komtur	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q682051	6	nachrichter	Verwaltung	Bote																					
1400	1700	https://database.factgrid.de/wiki/Item:Q674398	6	baumeister	Unbekannt	Bau																					
1400	1610	https://database.factgrid.de/wiki/Item:Q670155	6	samtweber	Safran	Textil																					
1611	1700	https://database.factgrid.de/wiki/Item:Q670155		samtweber	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670936	6	seidensticker	Schneider	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684157	6	silberkrämer	Safran	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663183	6	guternmacher																							
1400	1700	https://database.factgrid.de/wiki/Item:Q663128	6	druckergeselle	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670850	6	walker	Unbekannt	Textil																					
1400	1700	#spanner	5	spanner																							
1400	1700	https://database.factgrid.de/wiki/Item:Q673117	5	oblatenbäcker	Freie Berufe	Nahrung																					
1400	1700	#ackermeister	5	ackermeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q692636	5	wundarzt	Goldener Stern	Hygiene																					
1400	1700	#siebmacher	5	siebmacher	Spinnwettern	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q700174	5	frauenwirt	Andere	Dienstleistungen																					
1400	1700	#pulverstampfer	5	pulverstampfer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q681490	5	turmbläser																							
1400	1700	https://database.factgrid.de/wiki/Item:Q675408	5	brunnenmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689939	5	landschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q698520	5	briefmaler	Safran	Papier	Zunft vermutet																				
1400	1700	https://database.factgrid.de/wiki/Item:Q657304	5	stallknecht	Andere	Dienstleistungen																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672671	5	weinbrenner	Weinleuten	Nahrung	Zunft vermutet																				
1400	1700	https://database.factgrid.de/wiki/Item:Q699740	5	pfeifer	Andere	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665212	5	scheidenmacher	Safran	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684981	5	buchhändler;buchträger	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q699087	5	goldschlager	Himmel	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q692234	5	hebamme	Andere	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694000	4	hausknecht;stubenknecht	Andere	Dienstleistungen																					
1400	1700	https://database.factgrid.de/wiki/Item:Q685918	4	Erbschenk	Politisches Amt	Adel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694588	4	abt	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q695081	4	schuldiener	Andere	Dienstleistungen																					
1400	1700	https://database.factgrid.de/wiki/Item:Q691184	4	statthalter																							
1400	1700	https://database.factgrid.de/wiki/Item:Q651094	4	pflasterknecht	Spinnwettern	Steine	Zunft vermutet																				
1400	1700	#hofmeister	4	hofmeister																							
1400	1700	https://database.factgrid.de/wiki/Item:Q663692	4	hammerschmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q676158	4	glöckner	Andere	Dienstleistungen																					
1400	1700	#alt-zunftmeister	4	alt-zunftmeister	Zunftamt	Zunftamt																					
1400	1700	https://database.factgrid.de/wiki/Item:Q679421	4	ratsbote	Andere	Boten																					
1400	1700	https://database.factgrid.de/wiki/Item:Q695214	4	regent																							
1400	1700	https://database.factgrid.de/wiki/Item:Q699861	4	sänger																							
1400	1700	https://database.factgrid.de/wiki/Item:Q699708	4	organist																							
1400	1700	#almosenschaffner	4	almosenschaffner	Verwaltung	Verwaltung																					
1400	1700	#herr	4	herr																							
1400	1700	#flösser	4	flösser																							
1400	1700	https://database.factgrid.de/wiki/Item:Q664354	3	münzer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q673802	3	mühlenmeister																							
1400	1700	#ladenherren	3	ladenherren																							
1400	1700	#alt oberster zunftmeister	3	alt oberster zunftmeister																							
1400	1700	https://database.factgrid.de/wiki/Item:Q651134 https://database.factgrid.de/wiki/Item:Q659014	3	oberknecht																							
